Nombre de la Imagen,Movimiento
imagen_0000.jpg,Parado
imagen_0001.jpg,Parado
imagen_0002.jpg,Parado
imagen_0003.jpg,Parado
imagen_0004.jpg,Parado
imagen_0005.jpg,Parado
imagen_0006.jpg,Avanzar
imagen_0007.jpg,Avanzar
imagen_0008.jpg,Avanzar
imagen_0009.jpg,Parado
imagen_0010.jpg,Parado
imagen_0011.jpg,Parado
imagen_0012.jpg,Derecha
imagen_0013.jpg,Parado
imagen_0014.jpg,Parado
imagen_0015.jpg,Parado
imagen_0016.jpg,Avanzar
imagen_0017.jpg,Avanzar
imagen_0018.jpg,Avanzar
imagen_0019.jpg,Parado
imagen_0020.jpg,Parado
imagen_0021.jpg,Parado
imagen_0022.jpg,Izquierda
imagen_0023.jpg,Parado
imagen_0024.jpg,Parado
imagen_0025.jpg,Parado
imagen_0026.jpg,Parado
imagen_0027.jpg,Derecha
imagen_0028.jpg,Parado
imagen_0029.jpg,Parado
imagen_0030.jpg,Parado
imagen_0031.jpg,Parado
imagen_0032.jpg,Parado
imagen_0033.jpg,Parado
imagen_0034.jpg,Parado
imagen_0035.jpg,Parado
imagen_0036.jpg,Parado
imagen_0037.jpg,Parado
imagen_0038.jpg,Parado
imagen_0039.jpg,Parado
imagen_0040.jpg,Parado
imagen_0041.jpg,Parado
imagen_0042.jpg,Parado
imagen_0043.jpg,Parado
imagen_0044.jpg,Parado
imagen_0045.jpg,Parado
imagen_0046.jpg,Parado
imagen_0047.jpg,Parado
imagen_0048.jpg,Parado
imagen_0049.jpg,Avanzar
imagen_0050.jpg,Avanzar
imagen_0051.jpg,Avanzar
imagen_0052.jpg,Parado
imagen_0053.jpg,Parado
imagen_0054.jpg,Parado
imagen_0055.jpg,Parado
imagen_0056.jpg,Parado
imagen_0057.jpg,Parado
imagen_0058.jpg,Derecha
imagen_0059.jpg,Derecha
imagen_0060.jpg,Parado
imagen_0061.jpg,Parado
imagen_0062.jpg,Parado
imagen_0063.jpg,Avanzar
imagen_0064.jpg,Avanzar
imagen_0065.jpg,Parado
imagen_0066.jpg,Parado
imagen_0067.jpg,Avanzar
imagen_0068.jpg,Parado
imagen_0069.jpg,Parado
imagen_0070.jpg,Parado
imagen_0071.jpg,Parado
imagen_0072.jpg,Izquierda
imagen_0073.jpg,Parado
imagen_0074.jpg,Izquierda
imagen_0075.jpg,Parado
imagen_0076.jpg,Izquierda
imagen_0077.jpg,Parado
imagen_0078.jpg,Parado
imagen_0079.jpg,Izquierda
imagen_0080.jpg,Parado
imagen_0081.jpg,Parado
imagen_0082.jpg,Parado
imagen_0083.jpg,Parado
imagen_0084.jpg,Parado
imagen_0085.jpg,Parado
imagen_0086.jpg,Parado
imagen_0087.jpg,Parado
imagen_0088.jpg,Parado
imagen_0089.jpg,Parado
imagen_0090.jpg,Parado
imagen_0091.jpg,Parado
imagen_0092.jpg,Parado
imagen_0093.jpg,Parado
imagen_0094.jpg,Parado
imagen_0095.jpg,Parado
imagen_0096.jpg,Parado
imagen_0097.jpg,Parado
imagen_0098.jpg,Parado
imagen_0099.jpg,Parado
imagen_0100.jpg,Parado
imagen_0101.jpg,Parado
imagen_0102.jpg,Parado
imagen_0103.jpg,Parado
imagen_0104.jpg,Parado
imagen_0105.jpg,Parado
imagen_0106.jpg,Parado
imagen_0107.jpg,Parado
imagen_0108.jpg,Parado
